InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
4a782e14319ca15283a80c1477138416	2018-02-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	25.25	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	23.30	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.34	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.06	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	21.80	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.63	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.40	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	23.96	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.51	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.56	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.05	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.85	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 03:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	11.24	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 03:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.13	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 03:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.40	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 03:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.80	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 04:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.60	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 04:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.58	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 04:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	25.89	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 04:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.49	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 05:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	16.50	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 05:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	33.66	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 05:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.87	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 05:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.29	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 06:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.00	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 06:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.86	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 06:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	43.14	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 06:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.00	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 07:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	42.49	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 07:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	41.54	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 07:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.70	EUR	2024-10-03 13:28:41
4a782e14319ca15283a80c1477138416	2018-02-01 07:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.48	EUR	2024-10-03 13:28:41
