DateTime(UTC),AreaDisplayName,Price[Currency/MWh]
2020-01-01 12:00:00,Austria (AT),30.04
2020-01-02 12:00:00,Austria (AT),44.9
2020-01-03 12:00:00,Austria (AT),42.97
2020-01-04 12:00:00,Austria (AT),40.0
2020-01-05 12:00:00,Austria (AT),35.37
2020-01-06 12:00:00,Austria (AT),40.51
2020-01-07 12:00:00,Austria (AT),47.99
2020-01-08 12:00:00,Austria (AT),45.97
2020-01-09 12:00:00,Austria (AT),45.23
2020-01-10 12:00:00,Austria (AT),45.98
2020-01-11 12:00:00,Austria (AT),34.08
2020-01-12 12:00:00,Austria (AT),32.07
2020-01-13 12:00:00,Austria (AT),45.95
2020-01-14 12:00:00,Austria (AT),44.99
2020-01-15 12:00:00,Austria (AT),43.99
2020-01-16 12:00:00,Austria (AT),43.93
2020-01-17 12:00:00,Austria (AT),42.03
2020-01-18 12:00:00,Austria (AT),41.94
2020-01-19 12:00:00,Austria (AT),39.11
2020-01-20 12:00:00,Austria (AT),43.02
2020-01-21 12:00:00,Austria (AT),47.81
2020-01-22 12:00:00,Austria (AT),45.97
2020-01-23 12:00:00,Austria (AT),53.68
2020-01-24 12:00:00,Austria (AT),53.29
2020-01-25 12:00:00,Austria (AT),41.9
2020-01-26 12:00:00,Austria (AT),38.23
2020-01-27 12:00:00,Austria (AT),44.93
2020-01-28 12:00:00,Austria (AT),44.92
2020-01-29 12:00:00,Austria (AT),42.94
2020-01-30 12:00:00,Austria (AT),42.98
2020-01-31 12:00:00,Austria (AT),41.33
2020-01-01 12:00:00,Austria (AT),19.23
2020-01-02 12:00:00,Austria (AT),46.85
2020-01-03 12:00:00,Austria (AT),54.0
2020-01-04 12:00:00,Austria (AT),44.0
2020-01-05 12:00:00,Austria (AT),25.04
2020-01-06 12:00:00,Austria (AT),52.0
2020-01-07 12:00:00,Austria (AT),62.0
2020-01-08 12:00:00,Austria (AT),60.0
2020-01-09 12:00:00,Austria (AT),52.94
